player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Cooper Barkate,159333,WR,DUKE,14,13.5,8,62.6,41.7,10,24,1,7.7,6,51,154,0,71.2,76.8,75.4,,76.1,0.0,0,2,77,0.0,0,502,3,72,93.6,470,17.5,88,106.9,115,7,82.5,414,1093,399,5.5,15.2,2.33
Lewis Bond,143817,WR,BOSTON COL,12,8.1,16,79.3,80.0,8,10,1,3.3,3,50,121,0,87.9,58.6,74.5,0.0,77.0,0.0,0,2,54,0.2,1,494,2,88,96.0,474,62.6,309,99.4,111,1,36.6,181,993,423,4.8,11.3,2.09
Iverson Hooks,163020,WR,UAB,12,11.8,16,66.1,58.8,10,17,0,6.5,5,46,321,1,75.1,62.1,82.3,,82.9,0.0,0,1,51,0.0,0,381,1,72,93.4,356,65.1,248,110.1,109,7,34.6,132,927,301,4.2,12.9,2.6
Makai Lemon,174150,WR,USC,12,10.4,21,72.5,66.7,10,15,0,2.5,2,50,326,1,90.0,71.0,90.8,61.9,91.4,0.5,2,4,74,0.2,1,401,1,79,92.0,369,70.6,283,125.0,109,11,27.9,112,1156,502,6.4,14.6,3.13
Beau Sparks,173021,WR,TEXAS ST,13,11.1,16,77.8,73.3,11,15,0,2.3,2,44,314,2,90.6,54.4,79.5,,79.2,0.0,0,0,73,0.0,0,458,3,84,94.8,434,39.5,181,144.1,108,10,60.3,276,1206,558,6.6,14.4,2.78
Chase Hendricks,171348,WR,OHIO,13,13.3,8,65.7,57.1,16,28,0,5.3,4,49,259,2,79.4,53.8,83.8,,87.6,0.0,0,5,67,0.0,0,409,2,71,93.4,382,89.5,366,99.4,108,7,10.5,43,1042,308,4.3,14.7,2.73
Trent Walker,146340,WR,OREGON ST,12,10.7,14,63.0,40.9,9,22,0,8.1,6,40,265,2,69.2,56.9,69.4,,70.9,0.0,0,4,43,0.0,0,443,0,68,94.6,419,51.0,226,77.1,108,2,49.0,217,824,257,3.8,12.1,1.97
Griffin Wilde,177231,WR,NWESTERN,13,12.6,6,66.4,51.6,16,31,0,7.8,6,48,256,1,62.3,56.8,79.8,,80.2,0.0,0,6,49,0.0,0,392,1,71,93.4,366,45.7,179,93.2,107,8,54.3,213,880,177,2.5,12.4,2.4
Chris Bell,156321,WR,LOUISVILLE,11,9.4,9,67.9,50.0,12,24,0,4.0,3,45,210,0,83.7,75.8,81.8,,83.3,0.0,0,1,64,0.0,0,375,6,72,96.0,360,14.7,55,109.7,106,6,85.3,320,917,372,5.2,12.7,2.55
Jeremiah Smith,183710,WR,OHIO STATE,13,11.2,15,82.1,55.0,11,20,3,2.2,2,55,260,0,90.8,77.4,90.7,,90.7,0.0,0,1,87,0.0,0,373,5,87,97.1,362,18.2,68,149.3,106,12,81.8,305,1243,378,4.3,14.3,3.43
Camden Brown,157049,WR,GA SOUTHRN,13,15.5,11,62.9,75.9,22,29,0,2.9,2,50,174,0,87.0,75.1,76.5,,79.7,0.0,0,3,73,0.0,0,512,3,66,95.7,490,18.4,94,125.3,105,14,81.6,418,1088,296,4.5,16.5,2.22
Germie Bernard,158374,WR,ALABAMA,14,10.7,17,62.7,35.7,5,14,0,1.5,1,42,103,0,82.0,78.0,71.9,69.5,71.6,0.0,0,0,43,0.4,2,539,3,64,94.2,508,34.5,186,112.5,102,7,62.2,335,862,394,6.2,13.5,1.7
Devin Voisin,97427,WR,S ALABAMA,12,9.7,7,65.7,41.7,5,12,1,5.6,4,35,288,0,78.1,82.9,71.5,66.1,75.5,0.3,1,2,65,0.3,1,354,4,67,91.8,325,37.3,132,93.4,102,4,61.6,218,775,330,4.9,11.6,2.38
Josh Cameron,144513,WR,BAYLOR,12,9.9,15,67.6,59.3,16,27,0,1.4,1,41,118,2,91.6,55.5,72.4,,71.9,0.0,0,1,48,0.0,0,555,0,69,92.3,512,7.2,40,119.4,102,9,92.8,515,872,334,4.8,12.6,1.7
Isaiah Sategna III,163642,WR,OKLAHOMA,13,9.0,22,64.7,46.2,6,13,1,8.3,6,39,261,2,67.9,53.0,70.8,62.1,70.8,0.0,0,1,87,0.2,1,462,3,66,95.0,439,92.9,429,117.3,102,8,6.7,31,960,524,7.9,14.5,2.19
KC Concepcion,170362,WR,TEXAS A&M,13,12.3,14,60.4,66.7,10,15,0,10.3,7,48,312,0,61.0,86.7,78.4,,79.9,0.3,1,2,48,0.0,0,395,1,61,94.7,374,34.4,136,111.8,101,9,65.3,258,919,440,7.2,15.1,2.46
Kenny Odom,164032,WR,UTEP,11,8.7,16,62.0,50.0,8,16,0,10.1,7,21,330,1,62.5,56.6,67.0,62.2,65.7,1.4,5,4,74,0.3,1,352,1,62,94.9,334,59.9,211,81.5,100,6,36.9,130,586,413,6.7,9.5,1.75
