"Link","Name","Pos","Year","College","RAS","ALLTIME"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30798&ovl=Wyoming"">Link</a>","Sam Scott","RB","2026","Wyoming","9.65","9.65"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30028&ovl=Texas+Tech"">Link</a>","David Bailey","DE","2026","Texas Tech","9.64","9.64"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29962&ovl=Notre+Dame"">Link</a>","Eli Raridon","TE","2026","Notre Dame","9.63","9.63"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30081&ovl=Wisconsin"">Link</a>","Mason Reiger","DE","2026","Wisconsin","9.63","9.63"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30001&ovl=Iowa"">Link</a>","Logan Jones","OC","2026","Iowa","9.62","9.62"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30095&ovl=Texas+Christian"">Link</a>","Kaleb Elarms-Orr","LB","2026","Texas Christian","9.62","9.62"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30855&ovl=Illinois"">Link</a>","Josh Gesky","OG","2026","Illinois","9.62","9.62"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31367&ovl=Missouri+Western+State"">Link</a>","Grant Finley","DT","2026","Missouri Western State","9.61","9.61"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30753&ovl=Kentucky"">Link</a>","Alex Wollschlaeger","OT","2026","Kentucky","9.61","9.61"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30110&ovl=Texas+Tech"">Link</a>","Jacob Rodriguez","LB","2026","Texas Tech","9.60","9.60"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29868&ovl=Georgia+Tech"">Link</a>","Haynes King","QB","2026","Georgia Tech","9.60","9.60"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30044&ovl=Utah"">Link</a>","Logan Fano","DE","2026","Utah","9.60","9.60"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30238&ovl=Clemson"">Link</a>","Jeadyn Lukus","CB","2026","Clemson","9.59","9.59"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=29925&ovl=Kentucky"">Link</a>","Kendrick Law","WR","2026","Kentucky","9.59","9.59"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30141&ovl=South+Carolina"">Link</a>","Jalon Kilgore","SS","2026","South Carolina","9.59","9.59"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=30150&ovl=Texas"">Link</a>","Malik Muhammad","CB","2026","Texas","9.58","9.58"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31210&ovl=Coastal+Carolina"">Link</a>","Malick Meiga","WR","2026","Coastal Carolina","9.58","9.58"
"<a   class=""nt_btn "" style=""color: rgba(0, 0, 0, 1);background-color: rgba(255, 255, 255, 1);border-color: rgba(0, 0, 0, 1);"" rel="""" href=""https://ras.football/ras-information/?PlayerID=31510&ovl=Utah"">Link</a>","Tanoa Togiai","OG","2026","Utah","9.56","9.56"
